记录编号,部门,员工级别,费用类型,报销金额,发票金额,金额差额,发票张数,费用发生后提交天数,审批层级数,近30天同供应商报销次数,员工近30天报销次数,员工近6个月退回次数,同类费用平均金额,高于同类平均金额比例,部门预算使用率,发票抬头是否一致,是否有合同附件,是否周末发生费用,是否疑似重复发票,供应商信用等级,审核结果
R001427,信息技术部,普通员工,通信费,100,100,0,3,43,1,6,6,0,280,-0.6429,0.5624,是,否,否,否,B,通过
R001428,人力资源部,普通员工,招待费,3527,3527,0,3,15,2,5,4,2,2200,0.6032,0.9342,是,否,否,是,D,退回
R001429,采购部,普通员工,通信费,170,170,0,4,22,1,8,7,0,280,-0.3929,0.6907,是,是,否,否,A,通过
R001430,销售部,经理,通信费,232,213,19,2,49,1,5,4,1,280,-0.1714,0.8263,是,否,否,否,C,退回
R001431,生产部,普通员工,办公用品,1074,1074,0,1,34,2,0,5,1,700,0.5343,0.8517,是,否,否,否,A,人工复核
R001432,信息技术部,主管,办公用品,3172,3172,0,7,20,2,5,5,0,700,3.5314,0.681,是,是,否,否,A,通过
R001433,人力资源部,普通员工,招待费,4134,4134,0,4,4,2,7,6,0,2200,0.8791,0.502,是,否,否,否,A,通过
R001434,生产部,经理,差旅费,1650,1650,0,1,23,2,3,4,0,1800,-0.0833,1.0111,是,否,否,否,C,人工复核
R001435,采购部,主管,广告宣传费,6168,6727,559,4,1,3,0,14,0,5000,0.2336,0.7519,是,是,否,否,A,人工复核
R001436,采购部,普通员工,广告宣传费,4692,4692,0,3,36,2,2,5,0,5000,-0.0616,0.697,是,是,否,否,A,通过
R001437,采购部,经理,通信费,530,526,4,1,27,1,6,2,0,280,0.8929,0.419,是,否,否,否,D,人工复核
R001438,财务部,主管,交通费,420,420,0,1,6,1,3,4,0,350,0.2,0.3659,是,是,是,否,A,通过
R001439,采购部,普通员工,通信费,274,274,0,4,24,1,8,6,0,280,-0.0214,1.0874,否,否,是,否,C,人工复核
R001440,销售部,主管,招待费,1031,1044,13,1,34,2,7,5,0,2200,-0.5314,0.9033,是,否,否,否,C,退回
R001441,行政部,普通员工,差旅费,2854,2870,16,4,4,2,5,3,2,1800,0.5856,0.3999,是,否,否,否,A,通过
R001442,行政部,主管,维修费,2589,2589,0,3,44,2,4,5,0,1500,0.726,0.5235,是,是,是,否,A,通过
R001443,行政部,普通员工,差旅费,1189,1190,1,1,27,2,1,16,0,1800,-0.3394,0.9619,是,否,否,否,A,退回
R001444,销售部,普通员工,差旅费,3628,3628,0,4,15,2,6,7,0,1800,1.0156,0.4503,是,否,是,否,A,通过
R001445,行政部,主管,交通费,459,459,0,1,38,1,1,5,1,350,0.3114,0.7811,是,是,否,否,A,人工复核
R001446,销售部,普通员工,办公用品,1204,1204,0,4,23,2,2,5,0,700,0.72,0.3572,是,是,否,否,B,通过
R001447,财务部,普通员工,会议费,2643,2643,0,3,2,2,7,4,1,3200,-0.1741,0.5652,是,是,否,否,A,通过
R001448,市场部,主管,差旅费,2458,2458,0,1,5,2,3,2,0,1800,0.3656,0.4832,是,否,否,否,B,通过
R001449,销售部,普通员工,交通费,292,292,0,4,64,1,4,1,0,350,-0.1657,0.7708,是,否,否,是,B,人工复核
R001450,行政部,主管,交通费,272,272,0,1,16,1,1,7,0,350,-0.2229,0.839,是,否,是,否,A,通过
R001451,市场部,普通员工,会议费,4814,4814,0,3,2,2,8,3,0,3200,0.5044,0.494,否,是,是,否,C,人工复核
R001452,财务部,主管,维修费,2029,2029,0,4,23,2,1,17,0,1500,0.3527,0.7614,是,是,否,否,D,人工复核
R001453,行政部,主管,交通费,1184,1155,29,4,37,2,0,1,0,350,2.3829,0.6742,是,是,否,否,A,退回
R001454,行政部,经理,咨询服务费,11142,11174,32,1,45,4,8,7,0,6500,0.7142,0.9374,是,是,否,否,D,人工复核
R001455,财务部,普通员工,办公用品,915,915,0,1,13,1,0,6,1,700,0.3071,0.895,是,否,否,否,B,通过
R001456,行政部,普通员工,通信费,214,214,0,4,2,1,1,10,3,280,-0.2357,0.8381,是,否,否,否,A,人工复核
R001457,财务部,普通员工,咨询服务费,4721,4721,0,4,31,2,7,7,2,6500,-0.2737,0.7516,是,否,否,否,A,人工复核
R001458,信息技术部,普通员工,招待费,1644,1644,0,2,35,2,3,2,2,2200,-0.2527,0.5248,是,是,否,否,A,通过
R001459,销售部,普通员工,广告宣传费,6370,6424,54,4,17,3,2,2,0,5000,0.274,0.4767,是,是,否,否,A,通过
R001460,销售部,普通员工,差旅费,2416,2416,0,4,23,2,2,7,1,1800,0.3422,1.0166,是,否,否,否,A,人工复核
R001461,生产部,主管,交通费,191,191,0,2,28,1,0,7,0,350,-0.4543,0.3728,是,否,否,否,D,退回
R001462,销售部,实习生,维修费,1884,1884,0,4,21,2,17,5,0,1500,0.256,1.0419,是,是,否,否,B,人工复核
R001463,信息技术部,普通员工,差旅费,3342,3342,0,3,2,2,12,3,3,1800,0.8567,0.7644,是,否,否,否,B,人工复核
R001464,市场部,主管,咨询服务费,5711,5711,0,1,87,3,4,1,0,6500,-0.1214,0.4652,否,是,否,否,C,人工复核
R001465,采购部,普通员工,差旅费,878,856,22,1,29,1,4,2,1,1800,-0.5122,0.8499,是,是,否,否,B,通过
R001466,生产部,普通员工,培训费,3020,3058,38,1,18,2,5,3,0,2600,0.1615,0.4798,是,是,否,否,C,人工复核
R001467,生产部,普通员工,通信费,335,335,0,4,3,1,0,2,4,280,0.1964,0.5526,否,否,否,否,C,人工复核
R001468,采购部,普通员工,差旅费,753,722,31,1,19,1,20,3,0,1800,-0.5817,0.5248,是,否,否,否,A,人工复核
R001469,信息技术部,经理,差旅费,1319,1319,0,1,35,2,3,4,0,1800,-0.2672,0.5474,是,否,否,否,C,通过
R001470,采购部,主管,差旅费,6089,6089,0,4,16,3,2,7,0,1800,2.3828,0.3631,是,否,是,否,D,通过
R001471,行政部,普通员工,招待费,2309,2334,25,3,29,2,3,4,3,2200,0.0495,0.6773,是,是,是,否,B,人工复核
R001472,市场部,普通员工,办公用品,934,934,0,2,1,1,4,4,2,700,0.3343,0.9082,是,否,是,否,A,人工复核
R001473,财务部,主管,招待费,4179,4220,41,1,33,2,1,3,0,2200,0.8995,0.8915,否,否,否,是,A,退回
R001474,人力资源部,普通员工,交通费,485,485,0,4,40,1,0,3,0,350,0.3857,0.4006,是,否,否,否,B,通过
R001475,财务部,普通员工,招待费,3739,3215,524,2,38,2,5,2,0,2200,0.6995,0.5739,是,否,否,否,B,退回
R001476,人力资源部,主管,差旅费,3657,3657,0,3,36,2,1,4,2,1800,1.0317,0.5109,是,否,否,否,C,通过
R001477,行政部,主管,差旅费,1508,1508,0,4,30,2,0,6,1,1800,-0.1622,0.5982,否,是,否,否,A,人工复核
R001478,人力资源部,主管,招待费,2560,2560,0,1,44,2,2,6,1,2200,0.1636,1.0275,是,否,否,否,B,人工复核
R001479,销售部,实习生,维修费,694,694,0,3,44,1,3,4,0,1500,-0.5373,0.591,是,否,是,否,B,退回
R001480,生产部,普通员工,交通费,143,143,0,3,25,1,2,4,0,350,-0.5914,0.7967,是,否,否,否,A,通过
R001481,销售部,普通员工,咨询服务费,5571,5571,0,2,38,3,2,4,1,6500,-0.1429,0.9477,是,是,否,否,A,人工复核
R001482,生产部,普通员工,培训费,4253,4253,0,2,1,2,19,6,2,2600,0.6358,0.631,是,是,否,否,A,人工复核
R001483,市场部,普通员工,办公用品,969,969,0,2,41,1,8,1,0,700,0.3843,0.8407,是,是,否,否,A,通过
R001484,销售部,普通员工,培训费,3433,3468,35,4,70,2,0,5,0,2600,0.3204,0.919,是,是,否,否,B,人工复核
R001485,生产部,实习生,咨询服务费,8499,8499,0,4,31,3,0,2,2,6500,0.3075,0.4647,是,是,是,否,A,通过
R001486,人力资源部,主管,差旅费,2128,2128,0,1,10,2,5,3,0,1800,0.1822,0.8979,否,否,否,否,B,通过
R001487,销售部,普通员工,维修费,619,637,18,1,26,1,1,7,0,1500,-0.5873,0.7905,是,否,否,否,A,通过
R001488,采购部,普通员工,招待费,3672,3672,0,1,25,2,0,2,0,2200,0.6691,0.6783,是,否,否,否,A,通过
R001489,财务部,普通员工,差旅费,1446,1439,7,2,12,2,0,6,0,1800,-0.1967,0.6925,否,是,否,否,A,通过
R001490,市场部,主管,招待费,1424,1446,22,1,27,2,19,7,1,2200,-0.3527,0.7337,是,否,否,否,B,人工复核
R001491,财务部,普通员工,培训费,4123,4123,0,2,77,2,4,3,0,2600,0.5858,1.023,是,是,是,是,B,退回
R001492,信息技术部,普通员工,招待费,2417,2417,0,3,28,2,6,3,2,2200,0.0986,0.8768,是,否,否,否,B,通过
R001493,采购部,普通员工,招待费,2869,2869,0,3,19,2,3,6,5,2200,0.3041,0.8564,是,是,否,否,B,通过
R001494,销售部,经理,差旅费,5766,5805,39,6,8,3,2,3,0,1800,2.2033,0.3948,是,否,是,否,A,人工复核
R001495,采购部,普通员工,差旅费,1281,1281,0,2,15,2,7,4,1,1800,-0.2883,0.9157,是,否,否,否,A,通过
R001496,财务部,主管,维修费,2942,2942,0,4,43,2,7,7,0,1500,0.9613,1.1229,是,否,否,否,B,人工复核
R001497,行政部,普通员工,办公用品,586,586,0,1,41,1,4,1,0,700,-0.1629,0.7441,是,否,是,否,B,通过
R001498,销售部,实习生,咨询服务费,6732,6732,0,3,4,3,2,6,2,6500,0.0357,0.3532,是,是,否,否,A,通过
R001499,销售部,主管,差旅费,3234,3234,0,3,37,2,6,11,0,1800,0.7967,0.6472,是,否,是,否,D,人工复核
R001500,采购部,普通员工,培训费,4181,4125,56,3,39,2,5,5,0,2600,0.6081,0.7601,是,是,是,否,B,通过
R001501,生产部,普通员工,招待费,2434,2434,0,2,37,2,5,4,5,2200,0.1064,0.9764,是,否,否,否,B,人工复核
R001502,信息技术部,普通员工,咨询服务费,11185,11185,0,3,27,4,5,3,0,6500,0.7208,0.9202,是,是,否,否,A,通过
R001503,销售部,主管,维修费,1982,1962,20,4,12,2,5,2,3,1500,0.3213,0.4861,是,是,否,否,A,通过
R001504,采购部,普通员工,通信费,515,497,18,3,24,1,0,11,1,280,0.8393,0.5247,是,否,否,否,B,人工复核
R001505,人力资源部,普通员工,办公用品,2033,1999,34,2,76,2,1,1,0,700,1.9043,0.604,是,否,否,否,A,人工复核
R001506,销售部,普通员工,会议费,3163,3208,45,2,17,2,5,5,0,3200,-0.0116,0.552,否,是,否,否,A,退回
R001507,生产部,普通员工,交通费,227,227,0,2,31,1,2,4,0,350,-0.3514,0.4291,是,否,是,否,A,通过
R001508,人力资源部,普通员工,招待费,1914,1914,0,1,15,2,7,7,1,2200,-0.13,0.7908,是,否,否,否,A,通过
R001509,信息技术部,普通员工,招待费,3992,3946,46,2,31,2,4,7,1,2200,0.8145,0.3615,是,否,否,否,A,人工复核
R001510,销售部,普通员工,交通费,128,128,0,1,19,1,6,1,0,350,-0.6343,0.6327,是,否,否,否,B,通过
R001511,信息技术部,普通员工,招待费,2059,2059,0,1,84,2,15,6,0,2200,-0.0641,0.6089,是,是,否,否,B,人工复核
R001512,人力资源部,经理,办公用品,962,962,0,2,15,1,6,5,0,700,0.3743,1.0415,是,否,是,否,A,通过
R001513,信息技术部,实习生,差旅费,1814,1814,0,3,44,2,7,4,0,1800,0.0078,0.7657,是,否,否,否,A,通过
R001514,信息技术部,实习生,交通费,151,151,0,3,41,1,0,5,0,350,-0.5686,0.9012,是,否,否,否,C,人工复核
R001515,生产部,实习生,广告宣传费,3683,3683,0,2,34,2,2,3,0,5000,-0.2634,0.5309,是,否,否,否,A,人工复核
R001516,生产部,普通员工,差旅费,2874,2874,0,2,34,2,8,1,0,1800,0.5967,1.0103,是,否,否,否,A,人工复核
R001517,生产部,普通员工,交通费,132,132,0,4,31,1,0,7,2,350,-0.6229,0.7118,是,是,否,否,A,通过
R001518,行政部,普通员工,差旅费,2020,2020,0,1,33,2,2,3,0,1800,0.1222,1.1678,否,是,否,否,A,人工复核
R001519,财务部,普通员工,交通费,357,375,18,3,18,1,7,6,1,350,0.02,0.7547,是,是,否,否,B,通过
R001520,行政部,实习生,差旅费,3082,3082,0,3,3,2,0,1,0,1800,0.7122,0.7275,是,否,否,否,B,通过
R001521,采购部,普通员工,交通费,509,509,0,3,3,1,0,6,2,350,0.4543,0.5016,是,是,否,否,B,通过
R001522,信息技术部,经理,差旅费,2694,2715,21,3,41,2,7,2,5,1800,0.4967,0.9342,是,是,否,否,B,人工复核
R001523,财务部,实习生,招待费,1926,1966,40,3,7,2,6,12,0,2200,-0.1245,0.9735,是,否,否,否,A,人工复核
R001524,销售部,普通员工,维修费,2094,2061,33,2,14,2,6,6,0,1500,0.396,0.6889,是,是,否,否,C,人工复核
R001525,人力资源部,普通员工,招待费,2048,2048,0,3,17,2,7,1,2,2200,-0.0691,1.0442,是,否,否,否,B,退回
R001526,销售部,普通员工,差旅费,6580,6562,18,6,83,3,3,3,0,1800,2.6556,0.5718,是,是,否,否,A,人工复核
R001527,生产部,普通员工,通信费,262,233,29,1,28,1,0,1,0,280,-0.0643,0.6603,是,否,是,否,C,人工复核
R001528,财务部,普通员工,办公用品,1361,1361,0,4,6,2,4,2,3,700,0.9443,0.4888,是,否,是,否,A,人工复核
R001529,生产部,普通员工,广告宣传费,17805,17805,0,4,37,4,4,2,0,5000,2.561,0.7908,是,是,否,是,A,退回
R001530,采购部,普通员工,培训费,962,962,0,4,10,1,4,2,0,2600,-0.63,0.4055,否,否,否,否,A,人工复核
R001531,采购部,普通员工,招待费,2454,2454,0,3,26,2,5,5,0,2200,0.1155,0.719,是,否,否,否,B,通过
R001532,采购部,普通员工,维修费,2838,2838,0,4,43,2,1,4,2,1500,0.892,0.6954,是,是,否,否,B,人工复核
R001533,信息技术部,普通员工,交通费,423,423,0,1,42,1,12,1,1,350,0.2086,0.5509,是,否,是,否,A,人工复核
R001534,生产部,普通员工,咨询服务费,4932,4937,5,4,24,2,3,7,2,6500,-0.2412,0.6943,是,是,否,否,B,通过
R001535,销售部,主管,交通费,345,345,0,1,18,1,4,1,0,350,-0.0143,0.9259,是,是,否,否,A,通过
R001536,采购部,普通员工,通信费,187,187,0,3,21,1,4,6,0,280,-0.3321,0.6361,否,否,否,否,A,通过
R001537,人力资源部,普通员工,差旅费,6889,6889,0,7,37,3,2,2,2,1800,2.8272,1.2343,是,否,否,否,A,人工复核
R001538,采购部,主管,差旅费,1308,1256,52,4,10,2,4,2,0,1800,-0.2733,0.5616,是,否,是,否,B,人工复核
R001539,销售部,普通员工,招待费,2860,2860,0,3,42,2,8,4,1,2200,0.3,1.0435,是,否,是,否,A,退回
R001540,生产部,普通员工,培训费,3136,3354,218,1,4,2,4,6,1,2600,0.2062,0.5291,是,是,是,否,B,人工复核
R001541,市场部,普通员工,咨询服务费,10031,10030,1,3,28,4,18,4,0,6500,0.5432,0.881,是,是,否,否,A,人工复核
R001542,采购部,主管,广告宣传费,3335,3060,275,3,44,2,1,3,2,5000,-0.333,0.9781,是,是,否,否,A,人工复核
R001543,销售部,普通员工,差旅费,3192,3198,6,2,24,2,0,1,2,1800,0.7733,0.9161,是,否,否,否,A,人工复核
R001544,采购部,普通员工,办公用品,431,431,0,2,69,1,4,2,1,700,-0.3843,0.5058,是,否,否,否,B,退回
R001545,生产部,经理,广告宣传费,9144,9144,0,1,65,3,3,5,1,5000,0.8288,1.013,是,是,否,否,A,人工复核
R001546,行政部,普通员工,交通费,1191,1191,0,3,9,2,0,1,1,350,2.4029,0.5979,是,否,否,否,B,人工复核
R001547,市场部,主管,咨询服务费,11434,11482,48,1,13,4,4,1,0,6500,0.7591,0.6362,是,是,否,否,A,通过
R001548,行政部,普通员工,差旅费,2466,2466,0,2,29,2,8,6,2,1800,0.37,0.4976,是,否,否,否,A,通过
R001549,采购部,普通员工,招待费,2224,2224,0,1,27,2,5,4,0,2200,0.0109,0.7389,是,否,否,否,A,通过
R001550,信息技术部,普通员工,招待费,3249,3287,38,1,11,2,7,1,0,2200,0.4768,1.0199,否,否,是,否,C,退回
R001551,生产部,普通员工,差旅费,1925,1925,0,4,10,2,5,2,0,1800,0.0694,0.5257,是,否,是,否,A,人工复核
R001552,行政部,普通员工,办公用品,869,845,24,3,75,1,5,3,0,700,0.2414,1.1566,是,否,是,否,A,人工复核
R001553,信息技术部,普通员工,招待费,3021,3021,0,2,26,2,3,2,0,2200,0.3732,0.7664,是,是,是,否,B,通过
R001554,人力资源部,普通员工,招待费,3055,3055,0,1,23,2,1,2,3,2200,0.3886,0.6893,是,是,是,否,B,人工复核
R001555,财务部,普通员工,差旅费,2725,2684,41,3,71,2,1,1,2,1800,0.5139,0.6086,是,是,是,否,A,人工复核
R001556,市场部,普通员工,维修费,661,661,0,1,38,1,4,6,1,1500,-0.5593,1.1324,是,是,否,否,D,退回
R001557,市场部,普通员工,会议费,1423,1423,0,3,50,2,10,2,1,3200,-0.5553,0.5933,是,是,否,否,A,人工复核
R001558,市场部,普通员工,办公用品,1959,1959,0,7,3,2,1,4,2,700,1.7986,0.7922,是,否,否,否,A,人工复核
R001559,财务部,实习生,培训费,2871,2871,0,2,33,2,2,1,1,2600,0.1042,0.902,是,是,是,否,B,退回
R001560,人力资源部,实习生,广告宣传费,7264,7264,0,3,8,3,7,3,3,5000,0.4528,1.1696,是,是,否,否,B,退回
R001561,信息技术部,实习生,差旅费,1200,1200,0,4,40,2,6,6,0,1800,-0.3333,0.868,否,是,否,否,A,人工复核
R001562,销售部,普通员工,差旅费,1009,1009,0,4,30,2,8,2,0,1800,-0.4394,0.5142,是,是,否,否,D,人工复核
R001563,财务部,主管,办公用品,1216,1216,0,1,28,2,14,2,1,700,0.7371,0.7119,是,是,否,否,A,人工复核
R001564,采购部,主管,广告宣传费,6989,6989,0,2,4,3,5,7,1,5000,0.3978,1.0399,是,是,否,否,A,通过
R001565,销售部,主管,招待费,3125,3143,18,3,28,2,4,2,0,2200,0.4205,0.6874,是,否,否,否,A,通过
R001566,销售部,普通员工,交通费,406,406,0,2,36,1,6,2,1,350,0.16,0.577,是,否,否,否,D,人工复核
R001567,信息技术部,普通员工,咨询服务费,22864,22864,0,5,28,4,6,3,0,6500,2.5175,0.3703,是,否,否,否,A,通过
R001568,人力资源部,经理,广告宣传费,9480,9480,0,1,2,3,2,5,0,5000,0.896,0.5263,是,是,否,否,A,通过
R001569,信息技术部,普通员工,广告宣传费,7070,7070,0,1,32,3,8,3,1,5000,0.414,0.8725,是,是,否,否,A,人工复核
R001570,行政部,普通员工,差旅费,1917,1917,0,2,43,2,15,7,2,1800,0.065,0.892,是,否,否,否,A,人工复核
R001571,行政部,普通员工,培训费,2942,2942,0,1,28,2,1,3,0,2600,0.1315,0.3775,是,否,否,否,B,通过
R001572,人力资源部,实习生,招待费,3309,3309,0,4,38,2,2,3,0,2200,0.5041,0.4009,是,是,否,否,B,通过
R001573,行政部,经理,办公用品,398,456,58,4,38,1,6,7,0,700,-0.4314,0.4068,是,否,是,否,C,人工复核
R001574,财务部,实习生,招待费,2598,2598,0,2,5,2,7,3,0,2200,0.1809,1.0247,是,是,否,否,A,通过
R001575,人力资源部,实习生,差旅费,1623,1623,0,2,9,2,6,6,0,1800,-0.0983,0.3594,否,否,是,否,C,人工复核
R001576,市场部,普通员工,招待费,6741,6741,0,6,12,3,7,7,1,2200,2.0641,0.9199,是,否,否,否,B,人工复核
R001577,销售部,普通员工,办公用品,1262,1262,0,4,44,2,6,1,2,700,0.8029,0.7117,是,是,否,否,A,人工复核
R001578,信息技术部,普通员工,咨询服务费,5150,5150,0,4,4,3,9,2,0,6500,-0.2077,0.9125,是,否,否,否,A,人工复核
R001579,采购部,普通员工,差旅费,2920,2920,0,1,37,2,7,3,0,1800,0.6222,0.6847,是,否,否,否,B,通过
R001580,采购部,经理,通信费,274,274,0,3,28,1,3,2,0,280,-0.0214,1.0221,是,否,否,否,A,通过
R001581,销售部,实习生,通信费,882,933,51,7,31,1,18,3,0,280,2.15,0.4687,是,否,是,否,B,退回
R001582,生产部,实习生,交通费,328,328,0,4,14,1,4,2,4,350,-0.0629,0.6726,是,否,否,否,B,通过
R001583,销售部,普通员工,培训费,1496,1496,0,4,9,2,4,6,0,2600,-0.4246,0.8864,是,是,否,否,C,通过
R001584,市场部,实习生,维修费,1577,1577,0,1,9,2,2,5,1,1500,0.0513,0.7974,是,是,否,否,B,通过
R001585,市场部,主管,培训费,4398,4447,49,2,10,2,3,7,0,2600,0.6915,0.6991,是,是,是,否,A,人工复核
R001586,财务部,主管,广告宣传费,4702,4702,0,2,25,2,6,1,0,5000,-0.0596,0.3606,是,否,是,否,C,人工复核
R001587,信息技术部,普通员工,办公用品,304,304,0,3,26,1,5,1,0,700,-0.5657,0.4905,是,否,否,否,A,通过
R001588,行政部,经理,差旅费,1863,1855,8,4,27,2,0,2,3,1800,0.035,0.4026,是,是,否,否,A,通过
R001589,信息技术部,经理,交通费,206,206,0,3,19,1,15,1,1,350,-0.4114,0.9483,是,否,否,否,A,通过
R001590,生产部,主管,通信费,838,838,0,7,30,1,4,1,0,280,1.9929,0.7404,是,否,否,否,A,通过
R001591,生产部,普通员工,招待费,3103,3103,0,3,12,2,5,4,0,2200,0.4105,0.6248,是,否,否,否,A,通过
R001592,人力资源部,普通员工,交通费,235,235,0,2,14,1,8,7,0,350,-0.3286,0.7129,是,否,否,否,A,通过
R001593,销售部,经理,办公用品,966,966,0,3,8,1,8,3,0,700,0.38,1.039,是,否,否,否,B,人工复核
R001594,采购部,实习生,招待费,3142,3142,0,4,2,2,7,3,1,2200,0.4282,0.4132,是,是,否,否,A,通过
R001595,销售部,普通员工,招待费,1383,1383,0,1,39,2,3,5,1,2200,-0.3714,0.7238,是,否,否,否,B,人工复核
R001596,市场部,主管,广告宣传费,6434,6434,0,4,8,3,1,2,0,5000,0.2868,0.5939,是,是,是,否,C,人工复核
R001597,销售部,主管,交通费,295,295,0,1,31,1,4,2,0,350,-0.1571,0.629,是,否,否,否,A,人工复核
R001598,财务部,经理,招待费,2709,2358,351,2,45,2,5,2,3,2200,0.2314,1.119,是,否,否,否,A,退回
R001599,市场部,普通员工,办公用品,1326,1326,0,4,34,2,2,1,1,700,0.8943,0.3957,是,是,否,否,B,人工复核
R001600,生产部,主管,会议费,5583,5601,18,3,17,3,8,1,1,3200,0.7447,0.37,是,是,否,否,B,人工复核
R001601,市场部,主管,培训费,2840,2884,44,3,8,2,0,1,1,2600,0.0923,0.3598,是,否,否,否,A,人工复核
R001602,生产部,普通员工,交通费,218,218,0,3,6,1,6,5,0,350,-0.3771,1.0446,是,否,否,否,A,通过
R001603,生产部,普通员工,咨询服务费,2705,2729,24,1,25,2,4,3,0,6500,-0.5838,0.3849,是,否,否,否,A,人工复核
R001604,信息技术部,普通员工,广告宣传费,4680,5286,606,2,13,2,6,7,0,5000,-0.064,0.6249,是,是,否,否,B,通过
R001605,市场部,普通员工,办公用品,716,716,0,2,39,1,8,4,0,700,0.0229,0.7483,是,否,是,否,A,通过
R001606,人力资源部,普通员工,培训费,2929,2929,0,4,67,2,3,4,0,2600,0.1265,0.5794,是,否,否,是,D,人工复核
R001607,市场部,经理,差旅费,801,801,0,3,35,1,6,7,2,1800,-0.555,0.8558,是,否,否,是,C,退回
R001608,销售部,普通员工,通信费,363,363,0,1,36,1,6,6,2,280,0.2964,0.5161,是,否,否,否,C,人工复核
R001609,市场部,主管,广告宣传费,19102,19102,0,6,69,4,7,2,0,5000,2.8204,0.7615,否,是,否,否,A,退回
R001610,销售部,普通员工,招待费,1651,1651,0,2,31,2,5,4,0,2200,-0.2495,0.3575,是,是,否,否,A,通过
R001611,市场部,普通员工,招待费,3854,3854,0,2,32,2,1,3,1,2200,0.7518,0.463,是,是,是,否,B,人工复核
R001612,人力资源部,普通员工,办公用品,1342,1915,573,3,5,2,8,7,0,700,0.9171,0.7521,是,否,否,否,A,人工复核
R001613,市场部,普通员工,交通费,532,532,0,3,23,1,5,2,4,350,0.52,0.8548,是,是,否,否,B,人工复核
R001614,生产部,普通员工,维修费,2018,2018,0,3,39,2,18,6,0,1500,0.3453,0.6338,是,是,否,否,C,通过
R001615,信息技术部,普通员工,差旅费,679,677,2,2,19,1,2,5,2,1800,-0.6228,1.1851,是,否,否,否,C,人工复核
R001616,财务部,主管,会议费,2605,2605,0,3,39,2,6,1,0,3200,-0.1859,0.842,是,是,否,否,B,通过
R001617,市场部,普通员工,差旅费,1373,1373,0,4,11,2,3,4,0,1800,-0.2372,0.4707,是,否,否,否,B,通过
R001618,市场部,普通员工,差旅费,1098,1092,6,4,65,2,5,13,0,1800,-0.39,1.0225,是,否,否,否,B,人工复核
R001619,采购部,经理,通信费,1286,1286,0,5,20,2,2,4,0,280,3.5929,0.6079,是,否,否,否,B,通过
R001620,采购部,主管,差旅费,642,642,0,3,9,1,7,1,0,1800,-0.6433,0.8976,是,否,否,否,A,通过
R001621,销售部,普通员工,交通费,395,395,0,2,1,1,6,7,0,350,0.1286,0.6454,是,是,是,否,B,通过
R001622,采购部,主管,交通费,682,682,0,4,24,1,14,2,0,350,0.9486,0.9318,是,否,否,否,B,人工复核
R001623,市场部,普通员工,通信费,330,745,415,2,41,1,3,2,0,280,0.1786,0.658,是,否,否,否,A,通过
R001624,生产部,普通员工,交通费,155,208,53,4,35,1,16,1,1,350,-0.5571,0.8218,是,是,是,否,B,人工复核
R001625,采购部,主管,交通费,204,204,0,3,24,1,1,5,0,350,-0.4171,1.0202,是,是,否,否,A,通过
R001626,销售部,普通员工,会议费,6322,6368,46,2,30,3,5,5,0,3200,0.9756,0.4989,是,是,否,否,B,通过
R001627,采购部,主管,招待费,2635,2635,0,3,41,2,1,2,2,2200,0.1977,0.965,是,否,是,否,C,人工复核
R001628,采购部,经理,交通费,587,599,12,1,40,1,6,4,0,350,0.6771,0.7071,是,否,否,否,A,通过
R001629,行政部,普通员工,差旅费,2674,2674,0,1,19,2,0,15,1,1800,0.4856,1.044,是,否,否,否,A,人工复核
R001630,财务部,普通员工,交通费,550,586,36,4,7,1,0,2,0,350,0.5714,0.5962,是,是,否,否,C,人工复核
R001631,财务部,实习生,会议费,5960,5960,0,3,22,3,2,7,0,3200,0.8625,0.5309,是,是,否,否,B,通过
R001632,人力资源部,普通员工,维修费,1753,1753,0,1,30,2,6,3,2,1500,0.1687,0.5064,是,是,否,否,C,通过
R001633,市场部,普通员工,维修费,2827,2827,0,3,36,2,2,4,2,1500,0.8847,1.0254,是,是,否,否,A,人工复核
R001634,市场部,主管,差旅费,817,817,0,1,26,1,1,6,1,1800,-0.5461,1.1385,是,否,否,否,B,人工复核
R001635,财务部,主管,维修费,2356,2356,0,2,2,2,5,2,4,1500,0.5707,0.4092,是,是,否,否,A,通过
R001636,财务部,普通员工,会议费,9327,9275,52,3,27,3,5,7,1,3200,1.9147,0.9656,是,否,否,否,A,退回
R001637,人力资源部,普通员工,维修费,1174,1174,0,3,20,2,3,16,0,1500,-0.2173,1.1488,是,是,否,否,B,人工复核
R001638,采购部,普通员工,办公用品,651,651,0,3,22,1,17,4,0,700,-0.07,0.8236,是,否,是,否,C,退回
R001639,采购部,普通员工,招待费,4063,4063,0,4,3,2,3,7,2,2200,0.8468,0.8768,是,否,否,否,A,通过
R001640,行政部,实习生,交通费,633,633,0,3,37,1,6,2,0,350,0.8086,1.0157,是,是,否,否,A,通过
R001641,采购部,普通员工,交通费,177,157,20,4,2,1,7,4,4,350,-0.4943,0.5088,是,否,是,否,A,人工复核
R001642,财务部,普通员工,招待费,1832,1832,0,3,25,2,7,1,0,2200,-0.1673,1.062,是,否,否,否,A,通过
R001643,采购部,普通员工,咨询服务费,4264,4224,40,4,30,2,0,4,0,6500,-0.344,0.8524,是,是,否,否,C,通过
